Actual Sales,Predicted Sales
24.99,99.56700000000012
46.0,30.272400000000026
27.6,29.829500000000003
39.2,38.0675
42.0,46.834
38.36,38.143999999999984
58.8,45.81589999999999
35.0,39.843799999999966
38.0,31.15679999999999
23.0,32.73910000000001
44.0,40.46879999999998
30.0,44.693200000000004
24.48,23.13560000000002
57.98,69.0738
21.0,34.1531
34.0,28.88409999999999
75.6,63.82630000000003
17.15,25.955399999999987
25.6,61.37500000000003
69.16,57.79739999999995
25.0,35.95079999999998
34.3,36.852599999999995
37.8,38.14020000000001
58.5,37.40319999999999
47.6,53.00350000000001
31.2,37.43839999999997
38.2,33.89869999999999
40.0,43.088
70.2,67.15389999999995
39.2,42.17860000000002
71.89,49.712199999999996
88.92,75.60310000000008
60.06,45.09230000000005
25.2,39.29149999999998
15.6,39.66049999999998
38.0,44.23830000000002
50.0,35.47589999999998
61.6,41.059000000000005
31.0,37.1364
48.0,48.43320000000001
19.6,23.23580000000001
42.0,42.11880000000002
18.0,27.1192
46.0,37.16409999999999
36.4,40.259800000000055
24.0,37.636700000000026
26.0,40.021300000000025
34.6,48.65220000000003
55.0,39.33500000000001
13.2,45.010600000000004
44.6,39.39110000000003
31.0,45.153699999999986
77.0,57.29199999999996
49.0,36.24620000000001
56.0,40.55500000000001
28.0,34.68529999999999
34.56,32.57439999999997
35.0,38.56989999999999
65.8,43.6931
24.99,96.91340000000005
22.0,24.540199999999974
27.0,28.732400000000002
28.0,34.47539999999999
51.8,47.72510000000001
38.0,41.803700000000006
63.0,45.14580000000001
58.8,38.611499999999985
42.9,39.96670000000005
27.6,45.04069999999999
58.8,45.38259999999997
39.0,34.59500000000001
22.0,37.71650000000001
46.0,39.464
48.9,38.552299999999974
32.83,32.092699999999994
44.0,50.897800000000004
31.2,44.6641
47.6,33.99
23.0,38.06010000000001
29.0,34.74739999999999
62.3,48.65590000000003
44.0,43.953399999999995
27.6,29.796799999999962
35.0,35.86919999999999
27.6,30.05059999999996
38.0,39.0925
46.0,37.871100000000006
46.2,48.82300000000002
