Date,Actual Sales,Predicted Sales
2023-01-08,300.0,1118.7
2021-03-08,552.0,513.58
2022-11-12,224.0,262.26
2023-04-10,468.0,450.28
2024-01-02,756.0,879.72
2023-11-01,456.0,586.2
2022-11-07,1062.0,786.26
2021-07-08,630.0,573.68
2024-10-01,684.0,895.38
2023-04-11,184.0,396.12
2023-12-01,792.0,691.78
2021-12-07,540.0,614.94
2022-06-08,192.0,424.78
2023-08-10,696.0,857.38
2022-08-02,378.0,509.72
2021-01-08,408.0,376.62
2024-09-01,912.0,926.4
2022-09-05,204.0,255.4
2021-10-07,312.0,635.32
2022-06-02,828.0,763.82
2021-06-02,200.0,571.82
2022-04-04,408.0,512.82
2021-03-04,456.0,466.2
2023-01-12,708.0,508.1
2021-05-10,576.0,560.16
2021-09-12,248.0,301.12
2021-07-07,304.0,309.72
2023-09-07,720.0,642.16
2023-12-12,840.0,708.88
2021-04-06,312.0,415.44
2023-10-08,816.0,572.58
2023-10-07,1068.0,760.26
2022-10-04,720.0,563.44
2023-07-12,200.0,454.06
2023-04-08,128.0,457.38
2021-09-07,684.0,517.78
2022-08-06,900.0,648.36
2021-02-10,1116.0,616.6
2021-12-04,558.0,386.8
2023-02-04,864.0,746.4
2023-11-05,168.0,265.46
2021-08-12,372.0,586.68
2022-03-09,144.0,361.1
2021-04-08,368.0,396.98
2022-07-02,648.0,626.0
2021-06-04,432.0,582.44
2022-10-02,468.0,505.04
2023-06-07,280.0,461.06
2021-02-08,660.0,631.84
2022-07-10,104.0,640.4
2023-08-09,360.0,418.66
2021-12-02,372.0,765.98
2023-05-09,1386.0,961.62
2021-03-12,882.0,662.94
2021-09-01,1008.0,384.64
2021-04-03,224.0,581.32
2023-01-01,280.0,310.92
2023-10-01,630.0,696.48
2021-05-06,528.0,438.76
2022-01-08,300.0,1094.1
2023-02-06,176.0,255.96
2021-06-09,486.0,390.52
2023-02-05,504.0,604.28
2023-06-01,936.0,807.68
2023-05-01,684.0,615.82
2023-08-08,756.0,499.6
2021-10-03,472.0,570.34
2023-02-08,516.0,562.48
2023-05-12,224.0,430.46
2021-02-11,708.0,558.36
2021-03-05,468.0,301.08
2022-06-03,396.0,478.44
2023-04-12,828.0,728.72
2023-12-11,882.0,692.68
2023-09-03,288.0,552.26
2021-01-12,528.0,565.1
2023-02-03,248.0,377.36
2021-07-03,576.0,492.82
2021-07-05,414.0,453.4
2021-03-09,232.0,351.78
2022-02-10,1116.0,643.02
2021-05-11,352.0,504.92
2024-02-01,224.0,324.98
2021-06-06,420.0,404.76
2022-02-01,224.0,306.42
2021-09-03,456.0,456.26
2021-02-03,368.0,500.2
2021-03-07,828.0,477.84
